instance_name,GA_mean,AO_mean,wilcoxon_symbol,p_value,statistic,num_seeds
mt10c1,24.431,12.3049,+,9.5e-07,0.0,20
mt10cc,24.3847,12.3062,+,9.5e-07,0.0,20
mt10x,24.2136,12.1848,+,9.5e-07,0.0,20
mt10xx,24.3926,12.2505,+,9.5e-07,0.0,20
mt10xxx,24.6922,12.4745,+,9.5e-07,0.0,20
mt10xy,24.7125,12.2962,+,9.5e-07,0.0,20
mt10xyz,24.4739,12.3976,+,9.5e-07,0.0,20
setb4c9,37.8624,19.4664,+,9.5e-07,0.0,20
setb4cc,37.8064,19.4532,+,9.5e-07,0.0,20
setb4x,38.296,19.4166,+,9.5e-07,0.0,20
setb4xx,38.1197,19.509,+,9.5e-07,0.0,20
setb4xxx,38.3593,19.5565,+,9.5e-07,0.0,20
setb4xy,37.9482,19.7489,+,9.5e-07,0.0,20
setb4xyz,38.3243,19.7219,+,9.5e-07,0.0,20
seti5c12,59.9292,30.2581,+,9.5e-07,0.0,20
seti5cc,60.1567,30.1529,+,9.5e-07,0.0,20
seti5x,59.8575,30.2036,+,9.5e-07,0.0,20
seti5xx,59.9576,30.4651,+,9.5e-07,0.0,20
seti5xxx,60.7749,30.4784,+,9.5e-07,0.0,20
seti5xy,60.3617,30.2759,+,9.5e-07,0.0,20
seti5xyz,60.2583,30.4614,+,9.5e-07,0.0,20
